ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,Total_Length
490,8,18,Location 8 - Location 9,2,2,9,82391.561947147449246
491,57,19,Location 57 - Location 9,2,2,9,83126.489373334421543
492,41,20,Location 41 - Location 9,2,1,9,124927.558853558381088
493,39,21,Location 39 - Location 9,2,1,9,124973.629375925534987
494,40,22,Location 40 - Location 9,2,1,9,124973.629375925534987
495,42,23,Location 42 - Location 9,2,1,9,125636.255841792706633
496,31,24,Location 31 - Location 9,2,1,9,129546.214172637148295
497,32,25,Location 32 - Location 9,2,1,9,129547.082167310931254
498,46,26,Location 46 - Location 9,2,1,9,139137.521827764867339
499,47,27,Location 47 - Location 9,2,1,9,139137.521827764867339
500,48,28,Location 48 - Location 9,2,1,9,139137.521827764867339
501,30,29,Location 30 - Location 9,2,2,9,140189.127507565717679
502,62,30,Location 62 - Location 9,2,1,9,148479.848076980095357
503,27,31,Location 27 - Location 9,2,1,9,151038.838380846427754
504,33,32,Location 33 - Location 9,2,1,9,152219.842847868567333
505,37,33,Location 37 - Location 9,2,1,9,154044.129731188615551
506,34,34,Location 34 - Location 9,2,1,9,154173.092430708900793
507,35,35,Location 35 - Location 9,2,1,9,154173.092430708900793
508,36,36,Location 36 - Location 9,2,1,9,154173.092430708900793
509,28,37,Location 28 - Location 9,2,1,9,154446.108316742669558
510,29,38,Location 29 - Location 9,2,1,9,154446.108316742669558
511,53,39,Location 53 - Location 9,2,1,9,158326.925571473373566
512,52,40,Location 52 - Location 9,2,2,9,158328.527913614845602
513,54,41,Location 54 - Location 9,2,1,9,158334.857145045010839
514,2,42,Location 2 - Location 9,2,1,9,158547.417759078351082
515,3,43,Location 3 - Location 9,2,1,9,158568.904961274092784
516,4,44,Location 4 - Location 9,2,2,9,158615.804703051224351
517,5,45,Location 5 - Location 9,2,2,9,158767.916715561354067
518,6,46,Location 6 - Location 9,2,2,9,158873.971897701383568
519,38,47,Location 38 - Location 9,2,1,9,166790.766279954346828
520,61,48,Location 61 - Location 9,2,1,9,167177.342239933816018
